group,pride,happiness,surprise
1,100,100,100
1,100,0,100
1,100,100,100
1,100,100,100
1,100,100,100
1,0,0,0
1,100,100,100
1,100,100,100
1,100,100,100
1,100,100,100
1,100,100,100
1,100,100,100
1,0,100,100
1,100,100,100
1,100,100,100
1,100,100,100
1,100,100,100
1,100,100,100
1,0,100,100
1,100,100,100
1,100,100,100
1,100,100,100
1,0,100,100
1,25,0,100
1,100,100,100
1,0,100,0
1,100,100,100
1,100,100,100
1,0,100,100
1,0,100,100
2,100,0,0
2,100,0,0
2,100,0,100
2,100,100,100
2,100,100,100
2,100,100,0
2,100,100,100
2,100,0,100
2,100,0,100
2,100,100,100
2,0,0,100
2,0,0,0
2,100,0,0
2,100,0,100
2,100,100,100
2,100,0,100
2,0,0,100
2,100,100,0
2,0,100,0
2,100,0,100
2,100,0,100
2,100,100,0
2,100,0,100
2,100,100,100
2,0,0,100
2,100,100,100
2,100,0,0
2,100,0,0
2,100,100,100
2,0,0,100
3,100,100,100
3,100,100,100
3,100,100,100
3,100,100,100
3,0,100,100
3,100,100,100
3,50,100,100
3,0,100,100
3,0,75,100
3,0,0,0
3,0,25,0
3,50,100,0
3,100,100,100
3,0,0,100
3,100,100,0
3,0,100,100
3,25,100,100
3,100,100,100
3,100,100,100
3,0,100,0
3,75,100,0
3,100,100,100
3,0,100,100
3,0,0,0
3,100,100,100
3,0,100,100
3,100,100,100
3,0,100,100
3,0,0,100
3,100,100,100
